FinalCustomerName,Segment,BU,DU,Month,NetAvailableHours
A77,Transportation,Digital Manufacturing Services,Product Lifecycle Mgmt,Jun,835
A77,Transportation,Digital Products & Services,Digital PE & Mobility,Apr,176
A77,Transportation,Digital Products & Services,Digital PE & Mobility,May,164
A77,Transportation,Digital Products & Services,Digital PE & Mobility,Jun,156
A77,Transportation,Embedded Engineering and V&V Group,Embedded HW & SW Engineering,Apr,176
A77,Transportation,Embedded Engineering and V&V Group,Embedded HW & SW Engineering,May,176
A77,Transportation,Embedded Engineering and V&V Group,Embedded HW & SW Engineering,Jun,154
A77,Transportation,Embedded Engineering and V&V Group,V&V - M&T and IP,Apr,164
A77,Transportation,Embedded Engineering and V&V Group,V&V - M&T and IP,May,349
A77,Transportation,Embedded Engineering and V&V Group,V&V - M&T and IP,Jun,319
A77,Transportation,Embedded Engineering and V&V Group,V&V - Medical,Apr,164
A77,Transportation,Embedded Engineering and V&V Group,V&V - Medical,May,156
A77,Transportation,Embedded Engineering and V&V Group,V&V - Medical,Jun,-4
A77,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,Apr,296
A77,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,May,299
A77,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,Jun,463
A78,Transportation,Aerospace & Rail,Aerospace & Rail,Apr,10172
A78,Transportation,Aerospace & Rail,Aerospace & Rail,May,9847
A78,Transportation,Aerospace & Rail,Aerospace & Rail,Jun,9286
A78,Transportation,Digital Manufacturing Services,Product Lifecycle Mgmt,Apr,185
A78,Transportation,Digital Manufacturing Services,Product Lifecycle Mgmt,May,176
A78,Transportation,Digital Products & Services,Digital PE & Mobility,May,182
A78,Transportation,Digital Products & Services,Digital PE & Mobility,Jun,164
A78,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,Apr,3278
A78,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,May,3116
A78,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,Jun,3078
A80,Industrial Products,Aerospace & Rail,Aerospace & Rail,Apr,1128
A80,Industrial Products,Aerospace & Rail,Aerospace & Rail,May,1276
A80,Industrial Products,Aerospace & Rail,Aerospace & Rail,Jun,1444
A80,Industrial Products,Embedded Engineering and V&V Group,Embedded HW & SW Engineering,Apr,172
A80,Industrial Products,Embedded Engineering and V&V Group,Embedded HW & SW Engineering,May,280
A80,Industrial Products,Embedded Engineering and V&V Group,Embedded HW & SW Engineering,Jun,200
A80,Industrial Products,Embedded Engineering and V&V Group,V&V - Transportation,Apr,644
A80,Industrial Products,Embedded Engineering and V&V Group,V&V - Transportation,May,640
A80,Industrial Products,Embedded Engineering and V&V Group,V&V - Transportation,Jun,492
A81,Media & Technology,Digital Products & Services,Digital Comms. & Tech,Apr,190
A81,Media & Technology,Digital Products & Services,Digital Comms. & Tech,May,143
A81,Media & Technology,Digital Products & Services,Digital Comms. & Tech,Jun,185
A81,Media & Technology,Embedded Engineering and V&V Group,V&V - M&T and IP,Apr,1462
A81,Media & Technology,Embedded Engineering and V&V Group,V&V - M&T and IP,May,1453
A81,Media & Technology,Embedded Engineering and V&V Group,V&V - M&T and IP,Jun,1435
A81,Media & Technology,Media,Media,Apr,12244
A81,Media & Technology,Media,Media,May,11802
A81,Media & Technology,Media,Media,Jun,11337
A81,Media & Technology,System Integration,SI - Enterprises - LTTS,Apr,194
A81,Media & Technology,System Integration,SI - Enterprises - LTTS,May,167
A81,Media & Technology,System Integration,SI - Enterprises - LTTS,Jun,176
A82,Transportation,Aerospace & Rail,Aerospace & Rail,Apr,2656
A82,Transportation,Aerospace & Rail,Aerospace & Rail,May,2252
A82,Transportation,Aerospace & Rail,Aerospace & Rail,Jun,2032
A82,Transportation,Digital Manufacturing Services,Mechanical Services,Apr,176
A82,Transportation,Digital Manufacturing Services,Mechanical Services,May,-4
A82,Transportation,Digital Manufacturing Services,Mechanical Services,Jun,68
A82,Transportation,Digital Manufacturing Services,Product Lifecycle Mgmt,Apr,555
A82,Transportation,Digital Manufacturing Services,Product Lifecycle Mgmt,May,799
A82,Transportation,Digital Manufacturing Services,Product Lifecycle Mgmt,Jun,799
A82,Transportation,Digital Manufacturing Services,Smart Manufacturing & Sourcing,Apr,148
A82,Transportation,Digital Manufacturing Services,Smart Manufacturing & Sourcing,May,156
