FinalCustomerName,Segment,BU,DU,Month,Revenue
A107,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,Jun,0.0
A107,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,May,2275.1204000000002
A108,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Apr,48757.455258
A108,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Jun,42217.296651
A108,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,May,44284.406042999995
A108,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,Apr,26509.215375
A108,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,Jun,25229.46015
A108,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,May,22852.771875
A11,Plant Engineering,FMCG,FMCG,Apr,8128.55016512
A11,Plant Engineering,FMCG,FMCG,Jun,5750.33430928
A11,Plant Engineering,FMCG,FMCG,May,8114.639428959999
A11,Plant Engineering,FMCG,PSCG,Jun,-4.01396242
A11,Plant Engineering,FMCG,PSCG,May,4.01396242
A110,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Jun,86504.85536084001
A111,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Apr,13584.093874
A111,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Jun,5574.044980000001
A111,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,May,10114.535264
A111,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Apr,44004.891251
A111,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Jun,33685.595151
A111,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,May,44577.734066000005
A111,Transportation,DIGITAL MANUFACTURING SERVICES,SMART MANUFACTURING & SOURCING,Apr,89222.096658
A111,Transportation,DIGITAL MANUFACTURING SERVICES,SMART MANUFACTURING & SOURCING,Jun,78494.903972
A111,Transportation,DIGITAL MANUFACTURING SERVICES,SMART MANUFACTURING & SOURCING,May,64369.656460000006
A111,Transportation,DIGITAL PRODUCTS & SERVICES,DIGITAL IP & MEDICAL,Apr,4343.854878
A111,Transportation,DIGITAL PRODUCTS & SERVICES,DIGITAL IP & MEDICAL,Jun,3751.511031
A111,Transportation,DIGITAL PRODUCTS & SERVICES,DIGITAL IP & MEDICAL,May,4146.406929
A111,Transportation,DIGITAL PRODUCTS & SERVICES,DIGITAL PE & MOBILITY,Apr,13978.656629370002
A111,Transportation,DIGITAL PRODUCTS & SERVICES,DIGITAL PE & MOBILITY,Jun,24771.90093584
A111,Transportation,DIGITAL PRODUCTS & SERVICES,DIGITAL PE & MOBILITY,May,11140.57393725
A111,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,EMBEDDED HW & SW ENGINEERING,Jun,27886.47576
A111,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,Jun,17063.403000000002
A112,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Apr,29142.35034623
A112,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Jun,12213.756355360001
A112,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,May,10526.80333134
A112,Transportation,DIGITAL MANUFACTURING SERVICES,SMART MANUFACTURING & SOURCING,Apr,9778.67061495
A112,Transportation,DIGITAL MANUFACTURING SERVICES,SMART MANUFACTURING & SOURCING,Jun,9886.86884083
A112,Transportation,DIGITAL MANUFACTURING SERVICES,SMART MANUFACTURING & SOURCING,May,9786.78791952
A113,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Apr,4918.70467421
A113,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Jun,3647.35114383
A113,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,May,4078.18581872
A113,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Apr,6174.40862641
A113,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Jun,3290.90478059
A113,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,May,6149.54481061
A113,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,EMBEDDED HW & SW ENGINEERING,Apr,4710.36864901
A113,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,EMBEDDED HW & SW ENGINEERING,Jun,3379.707605059999
A113,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,EMBEDDED HW & SW ENGINEERING,May,3994.8514086399914
A114,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Apr,38185.67767161
A114,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Jun,54953.51002993
A114,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,May,48314.13992263
A114,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Apr,25205.03510742
A114,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Jun,26800.763928829998
A114,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,May,23659.96021663
A114,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Apr,26102.976376720002
A114,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Jun,27048.061390880004
A114,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,May,25279.984073740005
A115,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Apr,18968.53194495
A115,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Jun,28762.84401265
A115,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,May,16900.82127113
A115,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,Apr,2377.8258352000003
A115,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,Jun,7662.39424602
A115,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,May,14079.3388325
A116,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Jun,5801.03699248
A116,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,EMBEDDED HW & SW ENGINEERING,Jun,2203.64911772
A116,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,Jun,1901.3424945699999
A117,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Apr,0.0
A117,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Jun,3542.6874800000005
A117,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,May,-2778.8970600000002
A117,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,Jun,731.2887000000001
A118,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Jun,8361.37623634
A118,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,May,1795.41126366
A121,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,Apr,7648.028485780001
A121,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,Jun,7538.773954
A121,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,May,7538.773954
A121,Media & Technology,MEDIA,MEDIA,Apr,8072.484698120001
A121,Media & Technology,MEDIA,MEDIA,Jun,7957.16047013
A121,Media & Technology,MEDIA,MEDIA,May,7957.160470129999
A122,Media & Technology,DIGITAL PRODUCTS & SERVICES,ANALYTICS & AI,Apr,33850.82577005
A122,Media & Technology,DIGITAL PRODUCTS & SERVICES,ANALYTICS & AI,Jun,5682.113199
